ASX code,Company name,Security type,ISIN code
AFJ,AFFINITY EDU GRP LTD,ORDINARY FULLY PAID,AU000000AFJ3
AFJAI,AFFINITY EDU GRP LTD,ORDINARY FULLY PAID DEFERRED,AU0000AFJAI4
AFJAK,AFFINITY EDU GRP LTD,ORDINARY FULLY PAID DEFERRED,AU0000AFJAK0
AFR,AFRICAN ENERGY RES,CHESS DEPOSITARY INTERESTS 1:1,AU000000AFR6
AFRAA,AFRICAN ENERGY RES,OPTION EXPIRING 31-DEC-2015 EX 15C,AU0000AFRAA4
AFRAB,AFRICAN ENERGY RES,OPTION EXPIRING 27-NOV-2017 EX 10C,AU0000AFRAB2
AFRAI,AFRICAN ENERGY RES,PERFORMANCE RIGHT,AU0000AFRAI7
AFT,AFT CORPORATION,ORDINARY FULLY PAID,AU000000AFT2
AFP,AFT PHARMACEUTICALS,ORDINARY FULLY PAID FOREIGN EXEMPT NZX,NZAFTE0001S4
AFPXX,AFT PHARMACEUTICALS,INITIAL PUBLIC OFFER,AU0000AFPXX2
AHA,AG FINANCIAL,ORDINARY FULLY PAID,AU000000AHA8
AHAR,AG FINANCIAL,RIGHTS - APPLICATIONS CLOSE 04-JUL-2013,AU00000AHAR7
AGX,AGENIX LIMITED,ORDINARY FULLY PAID,AU000000AGX2
AGL,AGL ENERGY LIMITED.,ORDINARY FULLY PAID,AU000000AGL7
AGLHA,AGL ENERGY LIMITED.,HYBRID 3-BBSW+3.80% 08-06-39 SUB STEP T-06-19,AU0000AGLHA0
AG1,AGL OPTION/BASKET,AGL - OPTIONS OVER BASKET,AU000000AG10
AG2,AGL OPTION/BASKET.,AGL - OPTIONS OVER BASKET,AU000000AG28
AGJ,AGRICULTURAL LAND,ORDINARY UNITS FULLY PAID,AU000000AGJ1
AMN,AGRIMIN LTD,ORDINARY FULLY PAID,AU000000AMN1
AMNNA,AGRIMIN LTD,ORDINARY FULLY PAID EX OPTION DEFERRED,AU0000AMNNA2
AMNOA,AGRIMIN LTD,OPTION EXPIRING 31-DEC-2015,AU0000AMNOA0
AMNAN,AGRIMIN LTD,PERFORMANCE SHARE RIGHTS,AU0000AMNAN2
AMNAO,AGRIMIN LTD,OPTION EXPIRING 06-JUN-2015 EX 12C,AU0000AMNAO0
AGR,AGUIA RES LTD,ORDINARY FULLY PAID,AU000000AGR4
AGRAU,AGUIA RES LTD,PERFORMANCE SHARES,AU0000AGRAU0
AGRAE,AGUIA RES LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AGRAE4
AHL,AHALIFE HOLDINGS LTD,ORDINARY FULLY PAID,AU000000AHL5
AHLDC,AHALIFE HOLDINGS LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AHLDC3
AHLXX,AHALIFE HOLDINGS LTD,PLACEMENT,AU0000AHLXX7
AHLAB,AHALIFE HOLDINGS LTD,ORDINARY FULLY PAID RESTRICTED,AU0000AHLAB1
AHLAA,AHALIFE HOLDINGS LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AHLAA3
AHLAC,AHALIFE HOLDINGS LTD,OPTION EXPIRING VAR DATES RESTRICTED VAR PRICES,AU0000AHLAC9
AHLAD,AHALIFE HOLDINGS LTD,PERFORMANCE RIGHTS RESTRICTED,AU0000AHLAD7
AHLAE,AHALIFE HOLDINGS LTD,OPTION EXPIRING VAR DATES RESTRICTED VAR USD PRICE,AU0000AHLAE5
AI1,AIG INC (NYSE),AMERICAN INTERNATIONAL GROUP INC (NYSE),AU000000AI18
ENY,AII200ENERGY,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000ENY8
FIN,AII200FINANCIALS,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000FIN8
FIX,AII200FINXAREIT,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000FIX7
IDD,AII200INDUSTRIALS,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000IDD4
RSR,AII200RESOURCES,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000RSR3
MAM,AII300METALS&MINING,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000MAM3
APW,AIMS PROR SEC FUND,ORDINARY UNITS FULLY PAID,AU000000APW5
AGI,AINSWORTH GAME TECH.,ORDINARY FULLY PAID,AU000000AGI3
AGIAK,AINSWORTH GAME TECH.,PERFORMANCE RIGHTS,AU0000AGIAK0
AHJ,AIR CHANGE INT LTD,ORDINARY FULLY PAID,AU000000AHJ9
AC1,AIR CHANGE INTL,NSX - ORDINARY FULLY PAID,AU000000AC14
AIZ,AIR NEW ZEALAND,ORDINARY FULLY PAID,NZAIRE0001S2
AIZAK,AIR NEW ZEALAND,KIWI SHARE,AU0000AIZAK0
AIZAM,AIR NEW ZEALAND,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AIZAM6
AIZAN,AIR NEW ZEALAND,PERFORMANCE RIGHTS,AU0000AIZAN4
AIZAI,AIR NEW ZEALAND,OPTION EXPIRING VARIOUS DATES CFO EX VAR.PRICES,AU0000AIZAI4
AXP,"AIRXPANDERS, INC.",CHESS DEPOSITARY INTERESTS 1:3,AU000000AXP3
AXPAC,"AIRXPANDERS, INC.",CLASS A COMMON STOCK RESTRICTED,AU0000AXPAC7
AXPAD,"AIRXPANDERS, INC.",CDI RESTRICTED,AU0000AXPAD5
AXPAE,"AIRXPANDERS, INC.",CLASS A COMMON STOCK RESTRICTED,AU0000AXPAE3
AXPAG,"AIRXPANDERS, INC.",WARRANT EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AXPAG8
AXPAF,"AIRXPANDERS, INC.",OPTION EXPIRING VAR DATE RESTRICTED EX PRICES,AU0000AXPAF0
AJL,AJ LUCAS GROUP,ORDINARY FULLY PAID,AU000000AJL1
AJLAO,AJ LUCAS GROUP,OPTION EXPIRING 22-DEC-2015 EX VARIOUS PRICES,AU0000AJLAO0
AJLAQ,AJ LUCAS GROUP,OPTION EXPIRING 22-DEC-2016 EX $2.13,AU0000AJLAQ5
AJLAI,AJ LUCAS GROUP,OPTION EXPIRING 07-DEC-2015 EX $1.35,AU0000AJLAI2
AJLAS,AJ LUCAS GROUP,OPTION EXPIRING 07-DEC-2015 EX $1.35,AU0000AJLAS1
AJLAM,AJ LUCAS GROUP,ORDINARY FULLY PAID DEFERRED,AU0000AJLAM4
AQG,ALACER GOLD CORP.,CHESS DEPOSITARY INTERESTS 1:1,AU000000AQG6
AQGAI,ALACER GOLD CORP.,COMMON SHARES,AU0000AQGAI7
AQGAM,ALACER GOLD CORP.,RESTRICTED STOCK UNITS,AU0000AQGAM9
AUQ,ALARA RESOURCES LTD,ORDINARY FULLY PAID,AU000000AUQ7
AUQN,ALARA RESOURCES LTD,ORDINARY FULLY PAID DEFERRED,AU00000AUQN5
AUQO,ALARA RESOURCES LTD,OPTION EXPIRING 30-APR-2017,AU00000AUQO3
